# This file contains the temperature vs. altitude curve for Kerbin up to 100 km. Altitude in meters and temperature in K.

altitude                , temperature
0.000000000000000000e+00, 3.054516661584845565e+02
6.001200240048009960e+01, 3.049628255817657418e+02
1.200240048009601992e+02, 3.044714821369560127e+02
1.800360072014402988e+02, 3.039776646993362874e+02
8.801760352070414228e+03, 2.219632282195861137e+02
8.821764352870573930e+03, 2.218337399677423321e+02
1.604320864172834627e+04, 2.166500021463948542e+02
1.606321264252850597e+04, 2.166659240722656250e+02
2.572514502900580192e+04, 2.286449432373046875e+02
2.574514902980596162e+04, 2.287051722115841415e+02
3.786757351470294088e+04, 2.740692245702076093e+02
3.788757751550310059e+04, 2.741101584389623440e+02
4.112822564512902318e+04, 2.741101426410879753e+02
4.114822964592918288e+04, 2.740447434711661003e+02
5.743148629725944920e+04, 2.181396544200440530e+02
5.745149029805960890e+04, 2.180823879657359328e+02
5.747149429885976861e+04, 2.180340999356640168e+02
5.749149829965993558e+04, 2.179863860160149613e+02
5.751150230046009528e+04, 2.179392431132436059e+02
5.753150630126025499e+04, 2.178926836503892730e+02
5.755151030206041469e+04, 2.178466745319195468e+02
5.757151430286057439e+04, 2.178012276652829087e+02
5.759151830366073409e+04, 2.177563557313141018e+02
5.761152230446089379e+04, 2.177120251188898123e+02
5.763152630526105349e+04, 2.176682479932539991e+02
5.765153030606121320e+04, 2.176250370352414052e+02
5.767153430686137290e+04, 2.175823588915241658e+02
5.769153830766153260e+04, 2.175402407283397963e+02
5.771154230846169230e+04, 2.174986494501558809e+02
5.773154630926185200e+04, 2.174576124810054125e+02
5.775155031006201170e+04, 2.174171119841450093e+02
5.777155431086217141e+04, 2.173771293494450276e+02
5.779155831166233111e+04, 2.173376925165292448e+02
5.781156231246249081e+04, 2.172987678742744322e+02
5.783156631326265051e+04, 2.172603831045089464e+02
5.785157031406281021e+04, 2.172225198548985929e+02
5.787157431486296991e+04, 2.171851755474890524e+02
5.789157831566312962e+04, 2.171483298162460756e+02
5.791158231646328932e+04, 2.171120143633684734e+02
5.793158631726345629e+04, 2.170762088295665535e+02
5.795159031806361600e+04, 2.170409106368874461e+02
5.797159431886377570e+04, 2.170061164339924460e+02
5.799159831966393540e+04, 2.169718083841396208e+02
5.801160232046409510e+04, 2.169380139113636972e+02
5.803160632126425480e+04, 2.169047149211274075e+02
5.805161032206441450e+04, 2.168719085776826319e+02
5.807161432286457421e+04, 2.168395920452812504e+02
5.809161832366473391e+04, 2.168077622303797796e+02
5.811162232446489361e+04, 2.167764160394348494e+02
5.813162632526505331e+04, 2.167455508944935616e+02
5.815163032606521301e+04, 2.167151637020124610e+02
5.817163432686537271e+04, 2.166852518840387631e+02
5.819163832766553242e+04, 2.166558273480227399e+02
5.821164232846569212e+04, 2.166268567406381464e+02
5.823164632926585182e+04, 2.165983527427211754e+02
5.825165033006601152e+04, 2.165703122607284286e+02
5.827165433086617122e+04, 2.165427363258410196e+02
5.829165833166633092e+04, 2.165156137302717809e+02
5.831166233246649062e+04, 2.164889440462404195e+02
5.833166633326665033e+04, 2.164627282259015715e+02
5.835167033406681003e+04, 2.164369767434749576e+02
5.837167433486697701e+04, 2.164116557300457089e+02
5.839167833566713671e+04, 2.163867933830357515e+02
5.841168233646729641e+04, 2.163623558335302164e+02
5.843168633726745611e+04, 2.163383555045716946e+02
5.845169033806761581e+04, 2.163148050769979136e+02
5.847169433886777551e+04, 2.162916704240988679e+02
5.849169833966793522e+04, 2.162689800010915917e+02
5.851170234046809492e+04, 2.162466996812661364e+02
5.853170634126825462e+04, 2.162248576620443714e+02
5.855171034206841432e+04, 2.162034198167163481e+02
5.857171434286857402e+04, 2.161824143427039360e+02
5.859171834366873372e+04, 2.161618226298813568e+02
5.861172234446889343e+04, 2.161416270993033777e+02
